"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"EDward Gaming",40,26,14,36.8,608,478,1.27,0.74,,,,,,"59%","67%",,,,,"62%",,,"64%",,"49.9%",3.91,1.06,1.44
"Game Talents",38,11,27,37.6,439,667,0.66,0.77,,,,,,"39%","29%",,,,,"38%",,,"41%",,"45.4%",3.67,0.88,1.24
"I May",39,18,21,38.4,522,558,0.94,0.72,,,,,,"38%","41%",,,,,"46%",,,"43%",,"48.4%",3.81,0.99,1.61
"Invictus Gaming",39,21,18,37.9,639,504,1.27,0.77,,,,,,"63%","53%",,,,,"59%",,,"48%",,"51.8%",3.53,0.87,1.45
"LGD Gaming",38,14,24,34.3,479,629,0.76,0.85,,,,,,"32%","45%",,,,,"39%",,,"45%",,"49.9%",3.75,1,1.44
"Newbee",42,18,24,37,501,597,0.84,0.71,,,,,,"48%","38%",,,,,"41%",,,"40%",,"49.2%",3.53,0.83,1.34
"Oh My God",37,20,17,39.4,580,550,1.05,0.77,,,,,,"47%","44%",,,,,"58%",,,"52%",,"51.3%",3.66,0.92,1.42
"QG Reapers",38,22,16,36.3,501,441,1.14,0.68,,,,,,"63%","42%",,,,,"49%",,,"63%",,"51.0%",3.8,0.9,1.31
"Royal Never Give Up",39,26,13,34.1,539,356,1.51,0.67,,,,,,"67%","74%",,,,,"60%",,,"51%",,"49.4%",3.82,0.99,1.43
"Snake Esports",38,17,21,37.2,427,535,0.8,0.68,,,,,,"47%","55%",,,,,"45%",,,"49%",,"52.1%",3.95,1.13,1.63
"Team WE",37,25,12,35.3,545,374,1.46,0.7,,,,,,"58%","61%",,,,,"62%",,,"64%",,"51.8%",3.69,0.92,1.38
"Vici Gaming",37,13,24,35.8,386,492,0.78,0.66,,,,,,"38%","51%",,,,,"42%",,,"40%",,"50.2%",3.56,0.93,1.52
