"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Bilibili Gaming",41,24,17,31.5,574,530,1.08,0.85,,"2.6%",,,,"44%",,,,,,"53%",,,"61%","49.7%","51.6%",3.24,1.26,1.48
"EDward Gaming",35,25,10,30.3,547,369,1.48,0.86,,"6.5%",,,,"69%",,,,,,"63%",,,"61%","50.8%","52.3%",3.23,1.24,1.51
"FunPlus Phoenix",39,28,11,29.7,627,478,1.31,0.95,,"7.5%",,,,"44%",,,,,,"67%",,,"63%","50.6%","53.9%",3.3,1.35,1.55
"Invictus Gaming",37,15,22,30.1,472,556,0.85,0.92,,"-1.6%",,,,"41%",,,,,,"51%",,,"50%","50.4%","48.7%",3.24,1.38,1.49
"JD Gaming",37,17,20,30.7,507,555,0.91,0.93,,"-2.0%",,,,"51%",,,,,,"49%",,,"44%","50.4%","50.1%",3.33,1.19,1.51
"LGD Gaming",37,17,20,31.7,507,543,0.93,0.9,,"-3.0%",,,,"41%",,,,,,"46%",,,"50%","49.8%","49.3%",3.07,1.24,1.62
"LNG Esports",44,25,19,32,588,485,1.21,0.76,,"1.8%",,,,"43%",,,,,,"44%",,,"54%","50.0%","51.0%",3.36,1.18,1.45
"Oh My God",37,19,18,30,470,487,0.97,0.86,,"-2.7%",,,,"59%",,,,,,"53%",,,"52%","49.7%","48.1%",2.98,1.08,1.46
"Rare Atom",41,25,16,30.9,527,469,1.12,0.79,,"2.2%",,,,"51%",,,,,,"61%",,,"51%","50.8%","53.1%",3.28,1.05,1.7
"Rogue Warriors",39,14,25,31.4,467,594,0.79,0.86,,"-6.2%",,,,"38%",,,,,,"39%",,,"41%","48.9%","47.8%",3.14,1.15,1.46
"Royal Never Give Up",39,25,14,31.6,596,498,1.2,0.89,,"4.4%",,,,"72%",,,,,,"50%",,,"61%","50.3%","50.1%",3.52,1.33,1.65
"Suning",42,24,18,32.7,562,435,1.29,0.73,,"3.4%",,,,"52%",,,,,,"48%",,,"52%","50.8%","51.2%",3.92,1.41,1.64
"Team WE",40,23,17,32.1,609,537,1.13,0.89,,"2.4%",,,,"40%",,,,,,"49%",,,"53%","49.7%","51.2%",3.13,1.3,1.59
"ThunderTalk Gaming",36,8,28,30.6,369,592,0.62,0.87,,"-7.3%",,,,"56%",,,,,,"44%",,,"32%","48.9%","45.4%",3.23,1.22,1.45
"Top Esports",38,23,15,31.6,596,473,1.26,0.89,,"6.6%",,,,"50%",,,,,,"57%",,,"64%","50.6%","52.7%",3.13,1.36,1.54
"Ultra Prime",39,13,26,30.7,455,607,0.75,0.89,,"-4.5%",,,,"44%",,,,,,"47%",,,"39%","49.7%","47.6%",3.29,1.34,1.5
"Victory Five",35,3,32,30.6,271,548,0.49,0.76,,"-12.4%",,,,"60%",,,,,,"30%",,,"16%","48.5%","44.5%",3.23,1.35,1.39
