"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"EDward Gaming",35,25,10,35.6,534,397,1.35,0.75,,,,,,,,,,,,"65%",,,"57%",,,,,
"Energy Pacemaker.All",39,14,25,34.8,475,519,0.92,0.73,,,,,,,,,,,,"47%",,,"40%",,,,,
"Hyper Youth Gaming",33,3,30,33,289,565,0.51,0.78,,,,,,,,,,,,"42%",,,"40%",,,,,
"Invictus Gaming",39,20,19,35.4,505,478,1.06,0.71,,,,,,,,,,,,"47%",,,"57%",,,,,
"LGD Gaming",36,18,18,35.4,427,467,0.91,0.7,,,,,,,,,,,,"46%",,,"45%",,,,,
"Masters 3",36,9,27,35.3,318,540,0.59,0.68,,,,,,,,,,,,"41%",,,"29%",,,,,
"Oh My God",39,18,21,37.7,555,533,1.04,0.74,,,,,,,,,,,,"48%",,,"37%",,,,,
"Qiao Gu Reapers",37,24,13,35.7,559,442,1.26,0.76,,,,,,,,,,,,"51%",,,"63%",,,,,
"Royal Never Give Up",38,28,10,36.6,613,445,1.38,0.76,,,,,,,,,,,,"56%",,,"54%",,,,,
"Snake Esports",41,23,18,38.9,485,494,0.98,0.61,,,,,,,,,,,,"50%",,,"53%",,,,,
"Team WE",39,23,16,38.4,495,430,1.15,0.62,,,,,,,,,,,,"50%",,,"63%",,,,,
"Vici Gaming",40,21,19,35.4,522,477,1.09,0.7,,,,,,,,,,,,"54%",,,"56%",,,,,
