"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Bilibili Gaming",48,17,31,33.8,483,673,0.72,0.71,-0.97,"-4.6%",37.9,-1.8,-1068,"35%","36%","28%",,"33%","40%","39%","75%","44%","52%","49.4%","48.4%",3,1.31,1.41
"EDward Gaming",46,27,19,33.3,663,516,1.28,0.77,0.32,"3.0%",59.1,-0.4,787,"54%","63%","46%",,"64%","65%","58%","44%","48%","51%","49.4%","50.8%",3.15,1.35,1.4
"FunPlus Phoenix",46,20,26,35.4,541,595,0.91,0.7,-0.13,"-1.7%",48.2,-3.7,-184,"54%","47%","49%",,"34%","38%","39%","80%","49%","46%","49.4%","49.7%",3.29,1.33,1.33
"Invictus Gaming",49,34,15,30.5,757,592,1.28,0.9,1.22,"9.7%",60,12.3,1294,"41%","68%","68%",,"50%","47%","56%","50%","70%","69%","52.1%","56.5%",3.09,1.28,1.32
"JD Gaming",50,30,20,34,641,554,1.16,0.7,0.4,"2.5%",50.9,8.3,166,"71%","55%","61%",,"62%","49%","51%","38%","57%","55%","49.7%","49.3%",3.3,1.33,1.33
"LGD Gaming",44,20,24,32.6,581,619,0.94,0.84,-0.35,"-2.8%",48.8,-1.2,-203,"45%","52%","52%",,"49%","55%","51%","40%","44%","50%","49.7%","48.7%",3.02,1.24,1.29
"Oh My God",46,13,33,35.1,497,595,0.84,0.68,-0.56,"-6.7%",45.9,-15.7,-557,"53%","35%","37%",,"42%","60%","45%","44%","33%","34%","49.1%","46.6%",3.08,1.13,1.42
"Rogue Warriors",46,32,14,33.7,629,559,1.13,0.77,0.54,"6.0%",53.9,17.2,261,"50%","58%","56%",,"41%","62%","62%","50%","69%","73%","50.7%","55.3%",3.32,1.17,1.36
"Royal Never Give Up",46,28,18,36.3,598,477,1.25,0.64,0.55,"3.9%",59.8,3.8,883,"48%","64%","55%",,"68%","64%","58%","56%","50%","52%","50.4%","51.9%",3.28,1.37,1.55
"Snake Esports",47,20,27,35.1,488,527,0.93,0.61,-0.53,"-4.2%",41.6,1.9,-513,"51%","33%","37%",,"51%","28%","44%","50%","43%","48%","50.3%","46.8%",3.66,1.4,1.38
"Suning",47,26,21,34.8,656,494,1.33,0.7,0.87,"4.0%",60.4,-5.1,856,"53%","62%","77%",,"55%","47%","53%","33%","62%","49%","50.3%","50.9%",3.29,1.35,1.47
"Team WE",48,18,30,36.2,510,564,0.9,0.62,-0.09,"-1.9%",48.7,-8.7,-125,"38%","44%","44%",,"51%","49%","50%","33%","49%","46%","50.3%","49.7%",3.23,1.2,1.46
"Topsports Gaming",47,22,25,34.9,597,604,0.99,0.73,0.03,"-0.9%",50.3,-2.4,-187,"55%","57%","61%",,"66%","57%","56%","50%","56%","48%","49.7%","49.3%",3.25,1.28,1.48
"Vici Gaming",46,10,36,34.2,489,772,0.63,0.8,-1.36,"-7.4%",33.6,-10.9,-1527,"30%","25%","27%",,"35%","41%","42%","50%","23%","31%","49.4%","45.9%",3.1,1.21,1.24
