"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Energy Pacemaker",21,2,19,32.1,273,458,0.6,1.08,,,,,,,,,,,,,,,,,,,,
"Invictus Gaming",21,10,11,33.2,420,403,1.04,1.18,,,,,,,,,,,,,,,,,,,,
"LMQ",21,8,13,34.3,290,405,0.72,0.96,,,,,,,,,,,,,,,,,,,,
"Oh My God",21,17,4,32.2,402,283,1.42,1.01,,,,,,,,,,,,,,,,,,,,
"Positive Energy",21,13,8,32.5,410,368,1.11,1.14,,,,,,,,,,,,,,,,,,,,
"Royal Club",21,13,8,31.1,385,298,1.29,1.05,,,,,,,,,,,,,,,,,,,,
"Team WE",21,13,8,34.4,389,260,1.5,0.9,,,,,,,,,,,,,,,,,,,,
"Young Glory",21,8,13,30.6,335,433,0.77,1.19,,,,,,,,,,,,,,,,,,,,
