"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Invictus Gaming",28,22,6,34.7,576,363,1.59,0.97,,,,,,,,,,,,,,,,,,,,
"Oh My God",28,21,7,35.3,507,316,1.6,0.83,,,,,,,,,,,,,,,,,,,,
"Positive Energy",28,16,12,32.5,467,422,1.11,0.98,,,,,,,,,,,,,,,,,,,,
"Royal Club",28,15,13,34.9,536,458,1.17,1.02,,,,,,,,,,,,,,,,,,,,
"Team Livemore",28,8,20,36.7,376,608,0.62,0.96,,,,,,,,,,,,,,,,,,,,
"Team WE",28,20,8,37.3,555,312,1.78,0.83,,,,,,,,,,,,,,,,,,,,
"Wayi Spider China",28,3,25,31.8,346,686,0.5,1.16,,,,,,,,,,,,,,,,,,,,
"Wings of Aurora",28,7,21,31.7,369,572,0.65,1.06,,,,,,,,,,,,,,,,,,,,
