"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Bilibili Gaming",42,20,22,33.9,492,525,0.94,0.71,0.05,"0.9%",47.4,0.2,-57,"60%","43%","62%",,"37%","43%","50%","17%","45%","53%","50.0%","50.0%",3.63,1.31,1.75
"Dominus Esports",35,14,21,32.3,425,460,0.92,0.78,0,"-2.0%",49.6,-9.6,-267,"54%","37%","49%",,"43%","69%","51%","38%","45%","44%","50.2%","50.6%",3.1,1.24,1.55
"EDward Gaming",41,23,18,33.5,567,439,1.29,0.73,0.58,"4.1%",56.9,-0.8,732,"67%","54%","54%",,"53%","66%","51%","43%","57%","57%","49.8%","49.1%",3.37,1.52,1.6
"eStar",37,23,14,34.4,642,480,1.34,0.88,0.43,"3.9%",55.2,6.9,347,"54%","57%","68%",,"49%","65%","59%","71%","64%","69%","49.4%","50.7%",3.82,1.55,1.89
"FunPlus Phoenix",40,27,13,31.8,606,427,1.42,0.81,0.7,"4.2%",62,5.5,1102,"45%","65%","73%",,"60%","53%","57%","75%","78%","60%","49.8%","51.7%",3.58,1.41,1.53
"Invictus Gaming",39,28,11,30.2,638,587,1.09,1.04,0.65,"5.7%",57.3,14.5,820,"38%","51%","69%",,"64%","44%","47%","67%","65%","63%","51.8%","54.3%",3.14,1.07,1.58
"JD Gaming",36,26,10,32.7,526,339,1.55,0.73,0.86,"6.8%",58,14.2,753,"61%","58%","69%",,"44%","33%","56%","67%","74%","74%","50.5%","54.3%",3.34,1.2,1.67
"LGD Gaming",38,15,23,33,491,591,0.83,0.86,-0.48,"-2.2%",44.6,-5.2,-531,"57%","46%","42%",,"47%","45%","45%","67%","47%","41%","49.4%","49.5%",3.45,1.34,1.68
"LNG Esports",41,15,26,32.3,462,599,0.77,0.8,-0.72,"-7.3%",41.8,-5.3,-587,"43%","50%","27%",,"54%","37%","51%","20%","29%","33%","49.7%","48.1%",3.16,1.09,1.61
"Oh My God",38,17,21,31.2,396,477,0.83,0.73,-0.27,"-1.8%",43.5,1.3,-355,"37%","50%","42%",,"46%","50%","42%","40%","53%","50%","50.4%","50.1%",3.14,1.13,1.43
"Rogue Warriors",40,18,22,32.9,558,645,0.87,0.91,-0.8,"-4.6%",40.3,4.7,-1244,"47%","37%","28%",,"49%","43%","45%","56%","38%","45%","49.8%","46.7%",3.11,1.17,1.6
"Royal Never Give Up",38,20,18,33.8,503,444,1.13,0.74,0.22,"1.7%",54.3,-1.6,496,"47%","47%","55%",,"49%","61%","52%","50%","47%","45%","50.2%","49.4%",3.73,1.41,1.73
"Suning",41,19,22,33.1,565,606,0.93,0.86,-0.28,"-0.8%",42.3,4.1,-480,"44%","44%","44%",,"46%","39%","46%","50%","50%","45%","50.3%","50.8%",4.01,1.42,1.59
"Team WE",41,20,21,31,593,557,1.06,0.9,0.35,"-0.1%",56.9,-8.1,610,"63%","65%","54%",,"58%","56%","54%","100%","53%","53%","49.0%","48.4%",3.3,1.36,1.62
"Top Esports",37,23,14,32.7,568,486,1.17,0.87,0.79,"4.8%",61.4,0.8,1119,"43%","62%","62%",,"64%","38%","52%","25%","59%","62%","50.5%","53.4%",3.4,1.32,1.49
"Vici Gaming",43,21,22,32.9,509,529,0.96,0.73,-0.48,"-1.9%",46.7,2.2,-818,"43%","45%","42%",,"46%","65%","54%","86%","39%","37%","50.1%","50.0%",3.35,1.35,1.64
"Victory Five",33,1,32,30.2,287,653,0.44,0.94,-1.79,"-12.3%",30.6,-27.6,-1733,"48%","36%","9%",,"39%","45%","33%","0%","7%","6%","49.1%","42.4%",2.96,1.23,1.22
