"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"EDward Gaming",37,32,5,35.5,686,397,1.73,0.82,,,,,,,,,,,,"71%",,,"78%",,"55.1%",3.49,0.75,1.42
"Game Talents",37,16,21,36.6,492,559,0.88,0.78,,,,,,,,,,,,"48%",,,"47%",,"47.8%",3.41,0.73,1.25
"I May",37,21,16,36.2,494,480,1.03,0.73,,,,,,,,,,,,"48%",,,"48%",,"48.8%",3.47,0.79,1.35
"Invictus Gaming",41,16,25,35,551,569,0.97,0.78,,,,,,,,,,,,"40%",,,"37%",,"48.5%",3.32,0.62,1.14
"LGD Gaming",38,18,20,37.1,532,611,0.87,0.81,,,,,,,,,,,,"46%",,,"46%",,"49.9%",3.53,0.76,1.41
"Newbee",39,13,26,39.9,531,666,0.8,0.77,,,,,,,,,,,,"44%",,,"38%",,"45.9%",3.31,0.63,1.38
"Oh My God",39,13,26,39.2,557,650,0.86,0.79,,,,,,,,,,,,"49%",,,"37%",,"47.1%",3.32,0.64,1.41
"Royal Never Give Up",40,29,11,37.5,701,508,1.38,0.81,,,,,,,,,,,,"68%",,,"67%",,"55.5%",3.66,0.91,1.5
"Saint Gaming",39,9,30,33.6,426,740,0.58,0.89,,,,,,,,,,,,"38%",,,"40%",,"46.9%",3.18,0.55,1.27
"Snake Esports",38,21,17,37.1,523,446,1.17,0.69,,,,,,,,,,,,"42%",,,"52%",,"52.5%",3.76,0.87,1.47
"Team WE",42,24,18,39,621,532,1.17,0.7,,,,,,,,,,,,"52%",,,"57%",,"50.4%",3.33,0.6,1.37
"Vici Gaming",37,20,17,38.7,550,517,1.06,0.75,,,,,,,,,,,,"53%",,,"53%",,"51.3%",3.51,0.74,1.47
