"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Bilibili Gaming",37,20,17,35.6,508,401,1.27,0.69,0.32,"1.5%",52.8,1.2,161,"49%","54%","62%",,"35%","51%","52%","17%","67%","55%","49.2%","50.9%",3.62,1.45,1.66
"EDward Gaming",36,21,15,35.2,457,404,1.13,0.68,0.49,"3.0%",53.5,4.9,419,"53%","50%","61%",,"64%","64%","61%","67%","50%","49%","50.4%","52.0%",3.3,1.32,1.55
"FunPlus Phoenix",38,28,10,31.7,536,375,1.43,0.76,1.23,"6.6%",67.1,6.6,1644,"73%","70%","76%",,"62%","55%","59%","100%","65%","69%","50.2%","55.2%",3.5,1.23,1.36
"Invictus Gaming",35,24,11,30.9,600,502,1.2,1.02,0.22,"3.8%",55.3,15.3,729,"26%","61%","59%",,"55%","44%","54%","60%","72%","63%","51.6%","53.2%",2.84,1.13,1.24
"JD Gaming",39,20,19,32.4,432,512,0.84,0.75,-0.44,"-1.1%",45.2,6.1,-361,"44%","49%","46%",,"62%","31%","45%","63%","46%","54%","50.2%","49.2%",3.36,1.23,1.28
"LGD Gaming",38,15,23,33.2,454,507,0.9,0.76,-0.44,"-1.4%",43.9,-1.1,-474,"45%","46%","51%",,"66%","40%","49%","57%","39%","45%","49.6%","47.9%",3.03,1.21,1.46
"Oh My God",36,11,25,31.9,407,518,0.79,0.81,-1.49,"-8.7%",30.4,2.9,-2258,"23%","19%","30%",,"28%","39%","39%","25%","33%","37%","49.4%","45.9%",3.13,1.11,1.21
"Rogue Warriors",33,9,24,32,353,478,0.74,0.79,-1.16,"-6.0%",36.6,-9.3,-1570,"31%","28%","21%",,"28%","58%","42%","0%","42%","39%","48.6%","47.2%",3.48,1.3,1.19
"Royal Never Give Up",35,21,14,31.9,478,426,1.12,0.81,0.94,"3.5%",60.1,-0.1,1139,"66%","77%","60%",,"53%","54%","53%","50%","61%","53%","49.8%","52.5%",3.57,1.4,1.58
"SinoDragon Gaming",35,19,16,33.7,450,430,1.05,0.75,0.07,"0.5%",51.2,8.2,-97,"57%","53%","56%",,"48%","56%","53%","100%","45%","58%","50.0%","51.6%",3.17,1.13,1.54
"Snake Esports",38,12,26,32.6,391,485,0.81,0.71,-0.89,"-7.0%",35.1,-0.8,-1305,"44%","21%","31%",,"33%","40%","44%",,"39%","45%","50.2%","48.3%",3.44,1.29,1.37
"Suning",37,16,21,35.1,465,483,0.96,0.73,0.03,"-0.5%",52.6,-9.7,293,"39%","57%","51%",,"47%","43%","45%","55%","44%","36%","49.9%","51.0%",3.59,1.38,1.45
"Team WE",35,20,15,32.5,461,409,1.13,0.76,0.57,"3.3%",58,-0.8,884,"63%","51%","54%",,"46%","69%","61%","0%","50%","51%","50.7%","50.0%",3.31,1.19,1.5
"Topsports Gaming",36,24,12,32.7,445,339,1.31,0.66,0.73,"5.9%",62.1,6.5,1168,"66%","63%","57%",,"61%","69%","63%","40%","53%","57%","51.0%","52.0%",3.18,1.21,1.54
"Vici Gaming",40,12,28,34.3,408,514,0.79,0.67,-0.18,"-3.7%",45.8,-15.8,-354,"49%","44%","33%",,"51%","38%","35%","40%","47%","44%","49.2%","46.6%",3.17,1.22,1.54
"Victory Five",36,13,23,33.2,447,518,0.86,0.81,-0.24,"-0.5%",48.2,-12.1,-287,"51%","49%","47%",,"54%","53%","46%","50%","42%","43%","49.9%","46.7%",3.06,1.33,1.45
