"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Bilibili Gaming",35,23,12,33,483,403,1.2,0.77,0.02,"0.6%",48.7,16.9,-172,"31%","43%","53%",,,"41%","52%","0%","64%","57%","49.4%","50.7%",3.57,1.38,1.69
"Dominus Esports",36,15,21,32.5,419,447,0.94,0.74,-0.27,"-0.9%",44.1,-1.2,-541,"60%","43%","34%",,,"51%","52%","40%","50%","46%","49.3%","49.8%",3.25,1.21,1.6
"EDward Gaming",35,21,14,31.6,508,400,1.27,0.82,0.58,"4.1%",56,1.6,483,"68%","59%","64%",,,"58%","62%","0%","56%","53%","50.1%","52.3%",3.47,1.35,1.71
"FunPlus Phoenix",33,29,4,30.3,632,346,1.83,0.98,1.73,"11.6%",66.7,21.1,1720,"64%","67%","67%",,,"73%","71%",,"88%","83%","50.4%","56.5%",3.34,1.19,1.57
"Invictus Gaming",41,22,19,29.7,630,634,0.99,1.04,0.07,"1.8%",49.1,4.5,234,"34%","46%","51%",,,"34%","43%","100%","48%","52%","51.2%","52.4%",3.02,1.23,1.31
"JD Gaming",36,17,19,33.3,466,496,0.94,0.8,-0.2,"-1.8%",46.5,-1,-89,"44%","64%","39%",,,"45%","45%","50%","55%","56%","49.4%","50.3%",3.4,1.31,1.58
"LGD Gaming",37,11,26,32.5,401,570,0.7,0.8,-0.72,"-7.9%",43.2,-12.6,-540,"51%","43%","47%",,,"56%","53%","25%","14%","22%","49.8%","46.1%",3.38,1.23,1.44
"LNG Esports",36,19,17,34.7,484,460,1.05,0.75,0.11,"0.9%",48.5,4.4,-57,"36%","33%","47%",,,"44%","54%","67%","59%","60%","50.2%","51.9%",3.51,1.25,1.7
"Oh My God",34,8,26,31.7,361,548,0.66,0.84,-0.91,"-7.5%",38.5,-15,-1366,"50%","38%","38%",,,"38%","33%","33%","27%","35%","50.0%","47.2%",3.16,1.28,1.37
"Rogue Warriors",37,13,24,32.7,406,529,0.77,0.77,-0.74,"-5.3%",44.4,-11,-521,"49%","43%","36%",,,"42%","40%","33%","29%","31%","49.5%","47.6%",3.52,1.28,1.39
"Royal Never Give Up",35,25,10,32.3,534,370,1.44,0.8,0.83,"3.6%",62.2,11.3,816,"66%","49%","71%",,,"76%","59%","100%","61%","53%","50.3%","51.6%",3.82,1.49,1.75
"Suning",34,18,16,33.1,459,445,1.03,0.8,0.09,"0.5%",52.6,1.9,192,"44%","47%","61%",,,"48%","54%","100%","48%","52%","49.8%","50.4%",3.64,1.3,1.62
"Team WE",37,19,18,31.2,528,524,1.01,0.91,0.2,"2.1%",53,-0.2,405,"43%","59%","50%",,,"56%","56%","0%","55%","63%","50.2%","49.6%",3.22,1.2,1.56
"Top Esports",35,24,11,29.7,472,375,1.26,0.82,0.74,"7.4%",58.4,11.3,1026,"51%","63%","67%",,,"58%","56%","100%","66%","59%","50.9%","50.4%",3.14,1.21,1.38
"Vici Gaming",38,11,27,31.9,380,470,0.81,0.7,-0.33,"-1.3%",48,-19.1,-236,"66%","55%","37%",,,"47%","36%","60%","50%","48%","49.9%","48.2%",3.33,1.16,1.66
"Victory Five",35,12,23,30.1,446,608,0.73,1,-0.9,"-7.0%",41.8,-8.4,-1270,"46%","46%","42%",,,"36%","34%","0%","38%","37%","49.3%","45.5%",3.09,1.15,1.37
