"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"EDward Gaming",44,34,10,36.5,776,501,1.55,0.79,,,,,,,,,,,,"63%",,,"73%",,,,,
"Invictus Gaming",44,24,20,36,606,561,1.08,0.74,,,,,,,,,,,,"52%",,,"49%",,,,,
"LGD Gaming",44,24,20,35.6,710,645,1.1,0.86,,,,,,,,,,,,"50%",,,"64%",,,,,
"Masters 3",44,18,26,36,587,676,0.87,0.8,,,,,,,,,,,,"48%",,,"39%",,,,,
"Oh My God",44,21,23,35.2,637,627,1.02,0.81,,,,,,,,,,,,"49%",,,"29%",,,,,
"Qiao Gu Reapers",44,28,16,36.3,729,603,1.21,0.83,,,,,,,,,,,,"45%",,,"52%",,,,,
"Royal Never Give Up",44,18,26,36.7,609,632,0.96,0.77,,,,,,,,,,,,"43%",,,"36%",,,,,
"Snake Esports",44,24,20,35.4,591,566,1.04,0.74,,,,,,,,,,,,"55%",,,"43%",,,,,
"Team King",44,16,28,36,582,713,0.82,0.81,,,,,,,,,,,,"46%",,,"54%",,,,,
"Team WE",44,17,27,35,492,691,0.71,0.76,,,,,,,,,,,,"49%",,,"50%",,,,,
"Unlimited Potential",44,17,27,36.3,686,767,0.89,0.91,,,,,,,,,,,,"42%",,,"32%",,,,,
"Vici Gaming",44,23,21,35.9,626,686,0.91,0.83,,,,,,,,,,,,"55%",,,"69%",,,,,
