"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"DAN Gaming",38,14,24,35.5,379,539,0.7,0.68,,,,,,"43%","43%",,,,,"45%",,,"53%",,"45.2%",3.88,0.91,1.36
"EDward Gaming",35,24,11,33.4,497,330,1.51,0.71,,,,,,"53%","71%",,,,,"62%",,,"64%",,"50.1%",3.93,1.2,1.41
"I May",38,13,25,35.9,359,519,0.69,0.64,,,,,,"30%","27%",,,,,"39%",,,"41%",,"48.2%",3.54,0.96,1.48
"Invictus Gaming",39,22,17,34,490,459,1.07,0.72,,,,,,"41%","51%",,,,,"51%",,,"53%",,"54.5%",3.59,1.02,1.32
"JD Gaming",38,16,22,33.5,426,521,0.82,0.74,,,,,,"58%","58%",,,,,"49%",,,"45%",,"49.2%",3.58,1.05,1.29
"LGD Gaming",39,16,23,35.9,461,543,0.85,0.71,,,,,,"47%","61%",,,,,"54%",,,"44%",,"49.6%",3.71,1.09,1.49
"Newbee",40,21,19,35.5,537,543,0.99,0.76,,,,,,"55%","45%",,,,,"45%",,,"42%",,"49.3%",3.57,0.92,1.29
"Oh My God",39,23,16,34.5,459,420,1.09,0.65,,,,,,"43%","43%",,,,,"53%",,,"52%",,"50.2%",3.55,0.92,1.3
"Royal Never Give Up",38,26,12,37.3,536,375,1.43,0.64,,,,,,"76%","43%",,,,,"60%",,,"60%",,"51.1%",3.79,1.04,1.48
"Snake Esports",41,15,26,36.3,459,485,0.95,0.63,,,,,,"48%","45%",,,,,"43%",,,"49%",,"50.0%",3.97,1.17,1.54
"Suning",41,18,23,37.5,452,437,1.03,0.58,,,,,,"50%","68%",,,,,"46%",,,"44%",,"50.7%",3.84,1.11,1.46
"Team WE",40,25,15,33.7,520,413,1.26,0.69,,,,,,"56%","46%",,,,,"55%",,,"57%",,"51.7%",3.55,1.01,1.45
