"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Bilibili Gaming",38,16,22,31.2,438,544,0.81,0.83,-0.47,"-2.8%",43.1,-0.9,-765,"42%","45%","47%",,"50%","47%","46%","33%","55%","48%","50.0%","49.2%",3.36,1.3,1.51
"EDward Gaming",36,28,8,31.8,530,318,1.67,0.74,0.85,"6.1%",58.8,18.9,664,"61%","61%","67%",,"0%","61%","62%","100%","64%","60%","50.7%","51.9%",3.23,1.27,1.69
"eStar",36,7,29,30.3,376,559,0.67,0.86,-0.96,"-7.5%",40.5,-21,-937,"67%","33%","19%",,"10%","39%","41%","100%","18%","15%","49.1%","46.5%",3.4,1.44,1.54
"FunPlus Phoenix",35,24,11,28.9,568,437,1.3,0.99,1.2,"8.7%",63.4,5.2,1628,"57%","66%","83%",,"70%","37%","51%","0%","71%","68%","50.5%","54.4%",3.2,1.27,1.42
"Invictus Gaming",36,21,15,29,539,464,1.16,0.96,0.91,"4.0%",54.8,3.6,641,"54%","43%","56%",,"50%","72%","62%","0%","63%","68%","51.1%","51.4%",3.19,1.39,1.54
"JD Gaming",33,24,9,31.1,519,421,1.23,0.91,0.66,"3.7%",56.3,16.5,705,"45%","48%","61%",,"50%","45%","57%","33%","45%","51%","50.5%","53.3%",3.48,1.18,1.61
"LGD Gaming",37,11,26,30.6,392,547,0.72,0.83,-1.32,"-8.5%",32.4,-2.7,-1921,"38%","30%","30%",,"13%","62%","44%","80%","32%","31%","49.4%","45.7%",3.12,1.22,1.54
"LNG Esports",35,16,19,30.7,400,397,1.01,0.74,-0.17,"-1.5%",49.4,-3.7,12,"53%","62%","49%",,"30%","40%","47%","67%","47%","37%","49.7%","49.9%",3.52,1.18,1.52
"Oh My God",39,11,28,30.4,403,594,0.68,0.84,-1.38,"-9.0%",34.5,-6.3,-1822,"45%","37%","28%",,"42%","56%","44%","50%","41%","43%","48.9%","46.3%",3.27,1.26,1.42
"Rare Atom",36,21,15,33,471,463,1.02,0.79,0.39,"2.7%",54,4.4,393,"51%","46%","53%",,"40%","53%","50%","40%","55%","57%","50.7%","52.2%",3.5,1.07,1.78
"Rogue Warriors",34,3,31,30.3,293,590,0.5,0.86,-1.9,"-12.6%",32.3,-23.5,-1608,"26%","32%","12%",,"38%","41%","35%","25%","18%","21%","48.2%","44.4%",3.24,1.25,1.43
"Royal Never Give Up",37,29,8,32.1,597,388,1.54,0.83,0.78,"6.8%",59.1,19.3,784,"57%","59%","59%",,"70%","51%","60%","100%","71%","75%","50.4%","52.2%",3.68,1.29,1.75
"Suning",33,21,12,32.2,482,333,1.45,0.76,0.4,"5.3%",52.2,11.4,382,"61%","42%","42%",,"88%","48%","53%","50%","66%","57%","50.7%","51.0%",3.78,1.39,1.76
"Team WE",36,22,14,30.1,510,431,1.18,0.87,0.54,"4.2%",59.1,2,995,"44%","58%","56%",,"75%","53%","54%","100%","54%","59%","50.6%","52.2%",3.24,1.3,1.65
"ThunderTalk Gaming",38,12,26,31,424,598,0.71,0.87,-0.76,"-4.3%",41.7,-10.2,-1234,"39%","53%","45%",,"50%","55%","47%","0%","38%","45%","49.4%","46.9%",3.27,1.36,1.5
"Top Esports",35,25,10,30,583,369,1.58,0.91,1.74,"9.5%",73.8,-2.4,2583,"63%","80%","89%",,"90%","49%","56%","0%","73%","67%","51.2%","53.3%",3.12,1.28,1.67
"Victory Five",38,15,23,29.8,456,539,0.85,0.88,-0.21,"-3.0%",47.9,-8.5,-82,"47%","55%","58%",,"50%","37%","39%","0%","42%","45%","49.1%","49.9%",3.06,1.11,1.4
