"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"EDward Gaming",28,18,10,36.6,501,355,1.41,0.83,,,,,,,,,,,,,,,,,,,,
"Invictus Gaming",28,13,15,34.2,477,525,0.91,1.05,,,,,,,,,,,,,,,,,,,,
"LGD Gaming",28,12,16,33.4,470,555,0.85,1.1,,,,,,,,,,,,,,,,,,,,
"Oh My God",28,17,11,36,529,420,1.26,0.94,,,,,,,,,,,,,,,,,,,,
"Royal Club",28,19,9,35.6,548,410,1.34,0.96,,,,,,,,,,,,,,,,,,,,
"Team WE",28,15,13,38.9,417,417,1,0.76,,,,,,,,,,,,,,,,,,,,
"Team WE Academy",28,9,19,35.3,447,565,0.79,1.02,,,,,,,,,,,,,,,,,,,,
"Young Glory",28,9,19,32.3,427,585,0.73,1.12,,,,,,,,,,,,,,,,,,,,
