"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"EDward Gaming",28,21,7,38.1,475,302,1.57,0.73,,,,,,,,,,,,,,,,,,,,
"Energy Pacemaker",28,7,21,34.8,326,509,0.64,0.86,,,,,,,,,,,,"100%",,,"100%",,,,,
"Invictus Gaming",28,14,14,37.2,487,440,1.11,0.89,,,,,,,,,,,,,,,,,,,,
"LGD Gaming",28,12,16,32.2,414,505,0.82,1.02,,,,,,,,,,,,"0%",,,"0%",,,,,
"Oh My God",28,25,3,36.3,545,323,1.69,0.85,,,,,,,,,,,,,,,,,,,,
"Positive Energy",28,6,22,33.4,334,546,0.61,0.94,,,,,,,,,,,,,,,,,,,,
"Royal Club",28,9,19,34.4,377,476,0.79,0.89,,,,,,,,,,,,"0%",,,"0%",,,,,
"Team WE",28,18,10,35.3,499,360,1.39,0.87,,,,,,,,,,,,"100%",,,"100%",,,,,
