"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Anyone's Legend",40,14,26,31.9,528,577,0.92,0.86,,"-3.9%",,,,"68%",,,,,,"49%",,,"49%","49.5%","45.3%",3.15,1.34,1.48
"Bilibili Gaming",44,25,19,33.1,632,568,1.11,0.82,,"2.6%",,,,"61%",,,,,,"50%",,,"50%","50.3%","51.8%",3.48,1.41,1.54
"EDward Gaming",37,23,14,30.4,521,409,1.27,0.83,,"5.3%",,,,"51%",,,,,,"55%",,,"58%","50.1%","51.1%",3.32,1.33,1.61
"FunPlus Phoenix",42,21,21,31,529,562,0.94,0.84,,"2.2%",,,,"43%",,,,,,"54%",,,"51%","50.1%","52.3%",3.27,1.36,1.68
"Invictus Gaming",38,13,25,31,477,574,0.83,0.89,,"-2.1%",,,,"53%",,,,,,"54%",,,"44%","49.9%","51.8%",3.49,1.49,1.56
"JD Gaming",38,26,12,31.3,593,478,1.24,0.9,,"3.2%",,,,"58%",,,,,,"59%",,,"63%","50.0%","51.2%",3.19,1.22,1.61
"LGD Gaming",42,13,29,30.8,506,680,0.74,0.92,,"-6.5%",,,,"45%",,,,,,"41%",,,"42%","49.1%","46.3%",2.94,1.22,1.47
"LNG Esports",42,25,17,31.5,587,506,1.16,0.82,,"2.8%",,,,"45%",,,,,,"47%",,,"52%","49.9%","51.9%",3.2,1.26,1.52
"Oh My God",41,20,21,30.3,519,610,0.85,0.91,,"-2.8%",,,,"49%",,,,,,"49%",,,"58%","49.1%","48.8%",3.42,1.35,1.47
"Rare Atom",38,20,18,32.1,440,500,0.88,0.77,,"0.8%",,,,"47%",,,,,,"54%",,,"45%","50.7%","54.7%",3.22,1.16,1.68
"Royal Never Give Up",39,25,14,32.1,586,445,1.32,0.82,,"5.9%",,,,"54%",,,,,,"59%",,,"56%","50.7%","50.8%",3.45,1.44,1.66
"Team WE",40,14,26,30.2,451,544,0.83,0.82,,"-5.3%",,,,"45%",,,,,,"43%",,,"42%","49.3%","45.7%",3.2,1.33,1.54
"ThunderTalk Gaming",40,11,29,30.6,398,534,0.75,0.76,,"-5.7%",,,,"48%",,,,,,"39%",,,"33%","49.9%","45.1%",3.25,1.36,1.47
"Top Esports",41,24,17,31.1,564,471,1.2,0.81,,"2.4%",,,,"44%",,,,,,"57%",,,"52%","50.9%","51.4%",3.3,1.43,1.67
"Ultra Prime",41,15,26,31.8,538,645,0.83,0.91,,"-5.1%",,,,"59%",,,,,,"42%",,,"44%","49.5%","47.6%",3.27,1.39,1.49
"Victory Five",40,29,11,32,669,467,1.43,0.89,,"5.6%",,,,"45%",,,,,,"56%",,,"59%","50.2%","53.0%",3,1.28,1.7
"Weibo Gaming",39,23,16,31.7,471,456,1.03,0.75,,"1.2%",,,,"31%",,,,,,"43%",,,"52%","50.9%","51.7%",3.63,1.34,1.67
