"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"EDward Gaming",44,38,6,34.1,934,515,1.81,0.96,,,,,,,,,,,,,,,,,,,,
"Energy Pacemaker",44,11,33,34.7,479,787,0.61,0.83,,,,,,,,,,,,,,,,,,,,
"Gamtee",44,14,30,38.3,612,768,0.8,0.82,,,,,,,,,,,,,,,,,,,,
"Invictus Gaming",44,24,20,38.2,721,701,1.03,0.84,,,,,,,,,,,,,,,,,,,,
"LGD Gaming",44,24,20,37.3,848,792,1.07,1,,,,,,,,,,,,,,,,,,,,
"Masters 3",44,17,27,36.6,663,764,0.87,0.88,,,,,,,,,,,,,,,,,,,,
"Oh My God",44,27,17,35.3,815,716,1.14,0.98,,,,,,,,,,,,,,,,,,,,
"Royal Club",44,15,29,35.9,601,758,0.79,0.86,,,,,,,,,,,,,,,,,,,,
"Snake Esports",44,30,14,37.2,752,674,1.12,0.87,,,,,,,,,,,,,,,,,,,,
"Team King",44,20,24,37.1,702,771,0.91,0.9,,,,,,,,,,,,,,,,,,,,
"Team WE",44,18,26,36.7,644,764,0.84,0.87,,,,,,,,,,,,,,,,,,,,
"Vici Gaming",44,26,18,36.3,820,621,1.32,0.9,,,,,,,,,,,,,,,,,,,,
